X1,Y1,X2,Y2
-75.6825104669,4.81442364864,-75.685295777,4.81659550353
-75.6815663514,4.80190577066,-75.6877116455,4.81729427818
-75.6639052341,4.78716501109,-75.6953757273,4.8130475729
-75.6740978367,4.80184691771,-75.6940145453,4.81649321098
-75.6670584113,4.79105357251,-75.6940245153,4.82049943487
-75.694208731,4.79225080219,-75.694033862,4.8218554261
-75.6698149431,4.78492176208,-75.6919536479,4.81873084245
-75.675959086,4.80329572715,-75.6920612142,4.81919180867
-75.6792059307,4.80000661716,-75.6952646759,4.82153944244
-75.6630218896,4.79175014103,-75.688706697,4.82035574197
-75.6877026382,4.78865422208,-75.709821298,4.81781780568
-75.6710640299,4.7959680741,-75.6947053514,4.81873457233
-75.6850994057,4.81229970792,-75.6908283509,4.8106835415
-75.6802285654,4.79864640269,-75.6954726697,4.81598994132
-75.6878824842,4.78679626489,-75.6864809725,4.81654288904
-75.6720505241,4.79781144589,-75.692949043,4.82062667493
-75.6638552081,4.78926003291,-75.7069574351,4.81742872965
-75.6809951303,4.79484481695,-75.6939859966,4.81924605046
-75.6762189523,4.79592903786,-75.6918945379,4.82004616783
-75.6817169213,4.80073547278,-75.6954290939,4.81718427351
-75.6909515572,4.79902342134,-75.695564073,4.81497143963
-75.6737393737,4.80060629499,-75.7128569071,4.81803300919
-75.6640231229,4.78706765812,-75.6937376817,4.82188002138
-75.6786573561,4.7854190553,-75.6923768927,4.81087611229
-75.6915558096,4.79174280427,-75.6974563261,4.81731319814
-75.6954114009,4.80404399392,-75.7102678754,4.81860462041
-75.6742702964,4.79574018854,-75.6939310794,4.81048761664
-75.6851534772,4.80602560258,-75.7036296439,4.81734623565
-75.6935176089,4.78930429318,-75.6869812454,4.81691030943
-75.6704350867,4.8071867955,-75.7084747728,4.81749926324
-75.6750509867,4.80665985681,-75.7034178717,4.81696845573
-75.6867743171,4.80762844298,-75.695567893,4.8170759965
-75.6714818937,4.80296817664,-75.6952541489,4.81650903688
-75.6640647225,4.79874881396,-75.6891697262,4.81968221617
-75.6874642029,4.8088805247,-75.6942650233,4.81891521094
-75.662893216,4.78730955308,-75.6949831143,4.82188750698
-75.6841945938,4.79678928636,-75.6917456691,4.81319005329
-75.6689552669,4.79423235506,-75.6948365619,4.81094121807
-75.6729915734,4.79964704223,-75.6921138616,4.81893399794
-75.6861164684,4.79973917907,-75.6899883413,4.82043917426
-75.6616726462,4.78888022796,-75.6961646114,4.81323727667
-75.6838596203,4.81347519585,-75.6872983977,4.81689647724
-75.6853309816,4.81518239083,-75.6887605089,4.81976532006
-75.6617411322,4.78612953546,-75.6924153474,4.81466243067
-75.6682491336,4.79292528925,-75.6903113353,4.81284565295
-75.6836006809,4.80779686745,-75.701777744,4.81361833658
-75.6946830115,4.79504305172,-75.6943460388,4.82048605678
-75.6821224769,4.81509266173,-75.7122682416,4.81780944157
-75.6733805165,4.81054325304,-75.7129538759,4.81804579364
-75.6900809525,4.80133922783,-75.6912997408,4.8155578606
-75.6701786868,4.79657310275,-75.6923600228,4.81733107581
-75.6746473027,4.79676468564,-75.6928620113,4.81635313359
-75.6682285784,4.79553853076,-75.6999236969,4.81215341345
-75.6723100919,4.80071839107,-75.6886120594,4.80979833602
-75.665240139,4.80224134145,-75.6889789416,4.81075355434
-75.6659033822,4.79130780681,-75.7032860054,4.81783074818
-75.6824107945,4.80765744187,-75.6956522469,4.82315856168
-75.6955538272,4.79915125605,-75.69114508,4.81387067653
-75.6975400783,4.80612849578,-75.6936635368,4.81397892974
-75.6719326242,4.79826567715,-75.6958361771,4.81620819157
-75.6654208201,4.78600302563,-75.6933793452,4.81645588372
-75.6879437973,4.79505575079,-75.6920028472,4.81303679123
-75.6987027134,4.80749093978,-75.7068557962,4.81809792431
-75.6717249788,4.80813162707,-75.6931758811,4.81183771087
-75.6817170028,4.79675468623,-75.6910043751,4.8191226904
-75.6914859705,4.79549007669,-75.6869147906,4.817330782
-75.6811464381,4.79807981671,-75.7023228752,4.81177211225
-75.6732402239,4.79642825972,-75.6912120412,4.81939895538
-75.6838861963,4.78994126061,-75.6955720842,4.8154622306
-75.6731332035,4.80925383109,-75.6923773415,4.81303262482
-75.6714767586,4.80762039251,-75.6956056905,4.81747679672
-75.6871728913,4.81461705301,-75.7015460994,4.81762327368
-75.6868454909,4.81369380184,-75.6994218114,4.81822084844
-75.6608454873,4.78571575494,-75.6960405305,4.81696810855
-75.6605296444,4.78838934319,-75.7009511467,4.81771465847
-75.6844213043,4.79682453407,-75.70026818,4.81157424022
-75.6667806495,4.79087133952,-75.6909978484,4.81395069149
-75.6672018594,4.78703869311,-75.6945719859,4.81363788582
-75.6667303282,4.79677335191,-75.7022686828,4.81195571119
-75.6749304398,4.78572637983,-75.6883328117,4.81937667753
-75.6695321716,4.79851203932,-75.708330521,4.81788472943
-75.6804430801,4.80443320499,-75.6932817871,4.81802693604
-75.6665904572,4.79065589183,-75.6892147473,4.81833903697
-75.6954120456,4.80513527041,-75.7020481345,4.81733808421
-75.694393178,4.79613701773,-75.6885271414,4.8174737397
-75.6836694536,4.79891327458,-75.6892758712,4.81692839395
-75.6694811389,4.79690674965,-75.688301427,4.81143930149
-75.6946235674,4.7995453504,-75.6880299907,4.81708956806
-75.6629740831,4.78744368631,-75.6964451274,4.81714918256
-75.6878482162,4.78867790631,-75.6913616112,4.81861292698
-75.6796153059,4.81442178645,-75.6973813518,4.81226706127
-75.6850144886,4.80150800419,-75.7062457581,4.81809756901
-75.6804745951,4.80867298004,-75.6931012562,4.81087583016
-75.6852141928,4.78719395748,-75.6900411783,4.81805872221
-75.6849462631,4.80708911907,-75.706082604,4.81839455213
-75.6706597588,4.80542249329,-75.6984371316,4.81673139285
-75.6615457907,4.78665193529,-75.7008730438,4.81688404952
-75.6602137954,4.78636807655,-75.6922091546,4.8140248512
-75.6822996312,4.81012878831,-75.6877511116,4.81949096112
-75.674444199,4.78904324071,-75.7090138072,4.81872100884
-75.6689177293,4.78804474413,-75.6923327068,4.81006725404
-75.6718340743,4.80248253581,-75.7001017607,4.81301092421
