X,Y,X,Y
-75.7164968583505,4.81039319023758,-75.7243889118009,4.83219964521025
-75.737484914295,4.8095260330379,-75.7186960516727,4.82207164621955
-75.7432438480268,4.81076490041153,-75.7371105259463,4.82137199100767
-75.7135868016359,4.80892599725652,-75.7436984409234,4.82312300436184
-75.7630675605369,4.80491439859266,-75.7433306332341,4.82228796637988
-75.7123694225267,4.81069330086507,-75.7162926681058,4.81549635387109
-75.7310312643769,4.80474924665641,-75.7322480593851,4.82793379178431
-75.7342341031733,4.81588450881479,-75.7258922252684,4.81599402792681
-75.7437550902626,4.81071405193581,-75.7225106168747,4.82553762440863
-75.7536998228207,4.81016963206976,-75.718973831983,4.82691283171708
-75.7254562702799,4.80567358308238,-75.734534108117,4.82170140075186
-75.6982510236968,4.7996060182927,-75.7149481766506,4.8234989580046
-75.7269124862568,4.81001137521887,-75.7284805815267,4.81948958850858
-75.7025579324073,4.80626580067492,-75.7256532385695,4.82987144342767
-75.7497523206319,4.81159993692522,-75.7025616418053,4.82300128418006
-75.7108612890401,4.80682996974889,-75.725637012834,4.82380729010104
-75.7230270089919,4.81025388603607,-75.7340092831359,4.81989230505882
-75.7465350066337,4.80660537838796,-75.7189464313189,4.81825860659633
-75.745275972233,4.80841589060852,-75.7043373712942,4.82322816334803
-75.7409715075071,4.81128204247369,-75.7231388579985,4.82530798413736
-75.7264912866977,4.80272182088844,-75.7299363285952,4.82572793567533
-75.7268930079557,4.80487793886192,-75.721113837009,4.82650499971583
-75.7403622366918,4.81456083285001,-75.6999377850221,4.82324702981088
-75.7441046947029,4.79432772639511,-75.7137135638341,4.82383103798432
-75.7233284108472,4.80986655249285,-75.7172894261484,4.81636069375229
-75.7442703781742,4.80540562286034,-75.6988035500052,4.8143428235881
-75.7239679150314,4.81494135923538,-75.7189244772614,4.82357392492252
-75.7365603446206,4.80367875190619,-75.7089981543438,4.81596122620486
-75.750473716275,4.81021530940902,-75.7113636431034,4.81624274081434
-75.7494341277438,4.81300335996348,-75.7191484430175,4.83086401291528
-75.7459091150462,4.78823449027861,-75.7295981234541,4.83033983390427
-75.7549964104496,4.81177385060318,-75.7186868115414,4.81387468145571
-75.7624901212206,4.80143228794499,-75.706752849894,4.82083016075366
-75.7295128828751,4.80834955551388,-75.726286965992,4.81964348548676
-75.7317820209532,4.80928591074642,-75.7302077138042,4.82438666711798
-75.7109903172875,4.80972205307155,-75.7095738238998,4.82170472966703
-75.7529248292182,4.8093400921241,-75.7241630179574,4.83070257694329
-75.7611774089021,4.80229713854466,-75.7199720362271,4.82509906728385
