X,Y,X,Y
-75.6903658892484,4.81162013403858,-75.7086750558614,4.79854051033035
-75.6983824892503,4.81097606619848,-75.7124055288998,4.80428889889233
-75.6893457436475,4.81027276708278,-75.7079860596263,4.79346718733012
-75.6963807773246,4.81676010072627,-75.6830784501743,4.75560319733653
-75.6998857675594,4.81293074502707,-75.7038726712019,4.80256664059427
-75.6928532122819,4.81490772147573,-75.7238546408478,4.79832543361226
-75.689054899335,4.81224128909605,-75.7018245231833,4.79215529961949
-75.7045269205335,4.8130939378472,-75.6769158811646,4.75469598266923
-75.6983266466743,4.81696950371318,-75.6851333903782,4.76871133056528
-75.6964451271529,4.81361165694866,-75.7167025596688,4.79714241471236
-75.6894492462427,4.81700573962753,-75.6730537477656,4.74956931596921
-75.6908898267704,4.82139755110369,-75.7144806938683,4.80090915298598
-75.6942079908562,4.82245190936084,-75.6955773299633,4.78260976695157
-75.6938127147803,4.81044751437438,-75.7035097229021,4.7975006040599
-75.698632202039,4.81796104507841,-75.7166949342942,4.79818722413152
-75.695706056937,4.81097199754275,-75.7023842787925,4.78775423953665
-75.6960905153962,4.81700497897661,-75.691508698909,4.7829510409097
-75.6956131882869,4.81442375605278,-75.6726649580771,4.75287176168756
-75.6991613224189,4.81298302316175,-75.6743312980437,4.75273082736219
-75.6897052900268,4.81612924571215,-75.6764455329355,4.75867367795978
-75.6979994417785,4.8180178264276,-75.6997131498132,4.79812268423369
-75.6888365553004,4.80986544902632,-75.7060484725635,4.79641804765329
-75.6935793353873,4.81947389524963,-75.7192679145997,4.79991960125834
-75.7116295917299,4.8179923959041,-75.6952458243895,4.78094745888082
-75.6910451853151,4.81772315317518,-75.7110480977141,4.79961255219122
-75.7035006622646,4.81836932197438,-75.7216674152561,4.80194053248553
-75.6925106367414,4.81881829628496,-75.7130519861008,4.80181734147134
-75.6968939524087,4.81721028947723,-75.6956326374402,4.78181380526993
-75.7133665143283,4.81868166782152,-75.710555523086,4.79345600110445
-75.6979027861828,4.81304337019038,-75.7045960653619,4.80185359722226
-75.6939849338308,4.81862427171127,-75.6933490940509,4.77934001607082
-75.7040818698615,4.81853922465698,-75.7176971410379,4.80386744699263
-75.6938150839586,4.81501963545633,-75.7033804035894,4.79177828280861
-75.6936145900664,4.82114547850953,-75.6836785220735,4.76356161379458
-75.6916902394527,4.81795025714988,-75.7154158955518,4.79523321229686
-75.6976735093606,4.81069958975415,-75.7005604832742,4.79301220319045
-75.6960753550325,4.81974160077269,-75.7057591272595,4.79080051604333
-75.6959792514903,4.8114758966823,-75.7068429941847,4.79477799471983
-75.6911517912878,4.81755148048085,-75.6812347868304,4.75857472152529
-75.7013315399537,4.8113880031144,-75.6835495604657,4.76133543763899
-75.6921780353795,4.81324502678885,-75.6985614360337,4.79570726155534
-75.6847243126038,4.81645447407214,-75.6952192118182,4.78650835886921
-75.6935347562703,4.81330168010179,-75.7183482423606,4.80357440033197
-75.6962996155733,4.81653746812333,-75.6863164326926,4.76364096858014
-75.690453272244,4.82025010341077,-75.6897855836777,4.76894086472356
-75.6944700519589,4.8201586442495,-75.6802144067053,4.75429013978985
-75.6932837598302,4.8110797698934,-75.6978566821801,4.77964143428364
-75.6894379959098,4.81984412542861,-75.7104952605957,4.79914167904509
-75.6966426765149,4.81378411353148,-75.6965407049875,4.78803070741414
-75.6997801876421,4.81171459829665,-75.7003459840743,4.80004427442048
-75.7047580527974,4.81842745722717,-75.7057401948166,4.79518433239688
-75.7020029579336,4.81820218154682,-75.6911504362448,4.77331584076685
-75.6930386245253,4.81030413679633,-75.6910563074301,4.77223505606937
-75.7061096207383,4.81796949355878,-75.6827520535906,4.76130827879538
