X,Y,id,Des,AreaSub
-75.7011437399129,4.80989190612474,3,VENTORRILLO,14996659.63135
-75.7000543989349,4.80966820868979,3,VENTORRILLO,14996659.63135
-75.6901627519788,4.80951987794374,3,VENTORRILLO,14996659.63135
-75.6878221887873,4.80944943646244,3,VENTORRILLO,14996659.63135
-75.6878668843168,4.81060282006971,3,VENTORRILLO,14996659.63135
-75.6879002935936,4.81122333596402,3,VENTORRILLO,14996659.63135
-75.6879208495385,4.81170685240013,3,VENTORRILLO,14996659.63135
-75.6880098044426,4.81232986749122,3,VENTORRILLO,14996659.63135
-75.6880622963816,4.81390382794698,3,VENTORRILLO,14996659.63135
-75.6863798577202,4.81578586805557,3,VENTORRILLO,14996659.63135
-75.6854343217026,4.81581796953838,3,VENTORRILLO,14996659.63135
-75.6846766590726,4.81581455456829,3,VENTORRILLO,14996659.63135
-75.6842623525603,4.81586677824327,3,VENTORRILLO,14996659.63135
-75.6840394458055,4.8170162455629,3,VENTORRILLO,14996659.63135
-75.6831661349054,4.81643581864438,3,VENTORRILLO,14996659.63135
-75.6828861829723,4.81613275643992,3,VENTORRILLO,14996659.63135
-75.6821222956803,4.81585882424781,3,VENTORRILLO,14996659.63135
-75.6800594217857,4.81576776834693,3,VENTORRILLO,14996659.63135
-75.6727805663986,4.81133655567362,3,VENTORRILLO,14996659.63135
-75.6676166196111,4.80686772911995,3,VENTORRILLO,14996659.63135
-75.6621668661946,4.80419595845249,3,VENTORRILLO,14996659.63135
-75.6642512934993,4.80012748554483,3,VENTORRILLO,14996659.63135
-75.6594139272255,4.78559727095577,3,VENTORRILLO,14996659.63135
-75.6715073414551,4.78456430506934,3,VENTORRILLO,14996659.63135
-75.6882308058298,4.7864236410371,3,VENTORRILLO,14996659.63135
-75.6947635423021,4.7890404763557,3,VENTORRILLO,14996659.63135
-75.7011437399129,4.80989190612474,3,VENTORRILLO,14996659.63135
-75.7148758188065,4.8177966302806,1,CENTRO,2873798.04639
-75.7144596927422,4.81922414979486,1,CENTRO,2873798.04639
-75.696441486787,4.81829354115789,1,CENTRO,2873798.04639
-75.6965371818685,4.82050036605757,1,CENTRO,2873798.04639
-75.6963130102903,4.82378743809532,1,CENTRO,2873798.04639
-75.695518222574,4.82360061764405,1,CENTRO,2873798.04639
-75.6952304220058,4.82338494833216,1,CENTRO,2873798.04639
-75.6951532812404,4.82312584309922,1,CENTRO,2873798.04639
-75.6928553261324,4.82244464330403,1,CENTRO,2873798.04639
-75.6882391554712,4.82017258969456,1,CENTRO,2873798.04639
-75.6863593380948,4.8177817284362,1,CENTRO,2873798.04639
-75.6840609393987,4.81739781654366,1,CENTRO,2873798.04639
-75.684435372697,4.81590137187819,1,CENTRO,2873798.04639
-75.6864560517104,4.81592270679964,1,CENTRO,2873798.04639
-75.6882307581517,4.81393494215509,1,CENTRO,2873798.04639
-75.6879871288029,4.80964131771269,1,CENTRO,2873798.04639
-75.7002869377451,4.81046001221585,1,CENTRO,2873798.04639
-75.7061727837123,4.81200911377297,1,CENTRO,2873798.04639
-75.7061876618223,4.81291826974279,1,CENTRO,2873798.04639
-75.7061906558069,4.814271029373,1,CENTRO,2873798.04639
-75.6977362981213,4.81324642394233,1,CENTRO,2873798.04639
-75.6976601328052,4.81499204765275,1,CENTRO,2873798.04639
-75.6959083289627,4.81484025453351,1,CENTRO,2873798.04639
-75.695908329019,4.81628228845213,1,CENTRO,2873798.04639
-75.7148758188065,4.8177966302806,1,CENTRO,2873798.04639
-75.7098310113683,4.82492192264173,2,DOSQUEBRADAS,9588288.93164
-75.7015378777471,4.82426254082686,2,DOSQUEBRADAS,9588288.93164
-75.6964548424904,4.82372985436726,2,DOSQUEBRADAS,9588288.93164
-75.6966264045027,4.82084717619941,2,DOSQUEBRADAS,9588288.93164
-75.6965516539301,4.81834758284494,2,DOSQUEBRADAS,9588288.93164
-75.7090189377093,4.81910168216047,2,DOSQUEBRADAS,9588288.93164
-75.7145803003963,4.81928355570448,2,DOSQUEBRADAS,9588288.93164
-75.7150151933234,4.81773621960118,2,DOSQUEBRADAS,9588288.93164
-75.7142871198095,4.81766714695825,2,DOSQUEBRADAS,9588288.93164
