Lng,Lat,id,Des,AreaSub
-75.7450605023097,4.82128189267063,4,CUBA,23446171.78320
-75.7388604851645,4.82075720625486,4,CUBA,23446171.78320
-75.7275364537392,4.81563661154517,4,CUBA,23446171.78320
-75.7227185741082,4.8160176332228,4,CUBA,23446171.78320
-75.7202477796893,4.81217372174131,4,CUBA,23446171.78320
-75.7166093740914,4.81250894851676,4,CUBA,23446171.78320
-75.715303006534,4.81335260613757,4,CUBA,23446171.78320
-75.7107765525172,4.81174351945395,4,CUBA,23446171.78320
-75.7042618622745,4.8104622444803,4,CUBA,23446171.78320
-75.7012849248987,4.80993434498597,4,CUBA,23446171.78320
-75.6976686066654,4.79859819888369,4,CUBA,23446171.78320
-75.7035235293414,4.80416776583613,4,CUBA,23446171.78320
-75.7091061518826,4.80656823787437,4,CUBA,23446171.78320
-75.7143064028851,4.8054251566981,4,CUBA,23446171.78320
-75.7145358257521,4.80611100550277,4,CUBA,23446171.78320
-75.717365374092,4.80550136203616,4,CUBA,23446171.78320
-75.7188183853428,4.80367242864015,4,CUBA,23446171.78320
-75.7218008822399,4.80298657725631,4,CUBA,23446171.78320
-75.7235597906851,4.80306278291795,4,CUBA,23446171.78320
-75.7256245961944,4.80169107838683,4,CUBA,23446171.78320
-75.7267717103396,4.80024316509611,4,CUBA,23446171.78320
-75.7263893388947,4.79910007353587,4,CUBA,23446171.78320
-75.7253186989201,4.79772836116015,4,CUBA,23446171.78320
-75.7261599159421,4.79620423298616,4,CUBA,23446171.78320
-75.7263893387291,4.79483251474162,4,CUBA,23446171.78320
-75.7254716472941,4.79292734599157,4,CUBA,23446171.78320
-75.7255481215388,4.7920128630845,4,CUBA,23446171.78320
-75.7250128015663,4.79170803519876,4,CUBA,23446171.78320
-75.7239421616124,4.79086975779637,4,CUBA,23446171.78320
-75.7242480586501,4.7887359560159,4,CUBA,23446171.78320
-75.7235597900643,4.78705939283982,4,CUBA,23446171.78320
-75.7223362015384,4.78591627925713,4,CUBA,23446171.78320
-75.7233303671266,4.78454454034152,4,CUBA,23446171.78320
-75.725548121164,4.78233451072751,4,CUBA,23446171.78320
-75.7277658753605,4.78423970893392,4,CUBA,23446171.78320
-75.7281482468524,4.78660214743804,4,CUBA,23446171.78320
-75.7309777952897,4.7885073337406,4,CUBA,23446171.78320
-75.7331955494567,4.78965044295467,4,CUBA,23446171.78320
-75.7349544579342,4.79056492895063,4,CUBA,23446171.78320
-75.7367133663055,4.78873595553008,4,CUBA,23446171.78320
-75.7400017603139,4.78782146689177,4,CUBA,23446171.78320
-75.7420665658645,4.78751663703625,4,CUBA,23446171.78320
-75.7443607942789,4.78782146672204,4,CUBA,23446171.78320
-75.7503257881108,4.78744042924982,4,CUBA,23446171.78320
-75.7524670680032,4.78873595491672,4,CUBA,23446171.78320
-75.7532318108629,4.79026009968649,4,CUBA,23446171.78320
-75.7527729652266,4.79140320607435,4,CUBA,23446171.78320
-75.754073027985,4.79132699899188,4,CUBA,23446171.78320
-75.7571319991941,4.79147941292803,4,CUBA,23446171.78320
-75.7577437934966,4.79307975843205,4,CUBA,23446171.78320
-75.7545318738012,4.7948325136442,4,CUBA,23446171.78320
-75.7520846969272,4.79711870926763,4,CUBA,23446171.78320
-75.7546083481845,4.79749974101306,4,CUBA,23446171.78320
-75.755831936654,4.79719491550734,4,CUBA,23446171.78320
-75.7572084737544,4.79871904138265,4,CUBA,23446171.78320
-75.7579732166407,4.8009290179039,4,CUBA,23446171.78320
-75.7588213386874,4.80228545440189,4,CUBA,23446171.78320
-75.7632925488673,4.79947310171897,4,CUBA,23446171.78320
-75.7649915747687,4.80278405909784,4,CUBA,23446171.78320
-75.7689527566578,4.80508541481445,4,CUBA,23446171.78320
-75.7706720068707,4.80751180864512,4,CUBA,23446171.78320
-75.771730542797,4.80959488764464,4,CUBA,23446171.78320
-75.7736003700533,4.81182588175712,4,CUBA,23446171.78320
-75.7755412141469,4.81357054765246,4,CUBA,23446171.78320
-75.7734442855483,4.81553677514225,4,CUBA,23446171.78320
-75.77304714047,4.81727908838277,4,CUBA,23446171.78320
-75.7723873059987,4.81927590762318,4,CUBA,23446171.78320
-75.7698594626541,4.82023895458899,4,CUBA,23446171.78320
-75.7673334128428,4.81985197861098,4,CUBA,23446171.78320
-75.7656396421355,4.81853329054236,4,CUBA,23446171.78320
-75.7603607136617,4.81857039702734,4,CUBA,23446171.78320
-75.7569854678558,4.81578339880234,4,CUBA,23446171.78320
-75.7533671751479,4.81496528792026,4,CUBA,23446171.78320
-75.7521361783854,4.81609636812414,4,CUBA,23446171.78320
-75.7496493064508,4.81697369631058,4,CUBA,23446171.78320
-75.7467180514224,4.82041276217108,4,CUBA,23446171.78320
-75.7466555692495,4.82081466213825,4,CUBA,23446171.78320
-75.7462131767684,4.821343341683,4,CUBA,23446171.78320
-75.7450605023097,4.82128189267063,4,CUBA,23446171.78320
