X,Y,X,Y
-75.7650368120368,4.8069245554746,-75.6767058782523,4.79654146314625
-75.7307046172338,4.803881583705,-75.6761720152073,4.80446928513399
-75.7068349333774,4.80677891764027,-75.6987632610036,4.80682408271449
-75.7297575719418,4.81407970746671,-75.6830906281025,4.78992675924711
-75.7531360251331,4.80985342009954,-75.6953333840647,4.79618314848386
-75.7613577576733,4.81025920976028,-75.6648643880021,4.7958846696847
-75.7671102958159,4.81512138819361,-75.6946370508689,4.80289799476084
-75.7494475770825,4.79378160411067,-75.6876944837261,4.80668050826488
-75.7379065199664,4.80804676282438,-75.6954066099019,4.79357234855313
-75.7443053495417,4.79629339164987,-75.6786099649455,4.80690127247561
-75.7446833460155,4.82066764467696,-75.6651241164759,4.7996838446961
-75.7407686160231,4.79852302737604,-75.6890081333299,4.78916012937179
-75.7433095521754,4.81958722482071,-75.681791159779,4.79950296559104
-75.7454369131328,4.82113499682233,-75.6764371624804,4.80442658162108
-75.7386791742039,4.8117515960524,-75.6959049769303,4.79696382586379
-75.7331522120069,4.81015899365622,-75.6655351480819,4.79472004109641
-75.7555795988821,4.79934460071302,-75.6884861122174,4.80394276711238
-75.7493218988299,4.7920765524004,-75.6749580600427,4.79062697213464
-75.7573219041697,4.79974455557273,-75.6780793542084,4.81369917723897
-75.7460399169284,4.79541088295501,-75.6739463186885,4.79535276278316
-75.7257358790766,4.78885726972485,-75.6807961554018,4.79470858955118
-75.7518968930949,4.7954658257731,-75.676928300464,4.78829901513018
-75.750986159736,4.8040625680021,-75.6768117065758,4.79660494102715
-75.7454450696468,4.79779736548578,-75.6935604113026,4.80922893267458
-75.7634313782391,4.79983437337461,-75.6663420776286,4.79691237835164
-75.7566051714058,4.80630928416483,-75.6715867316244,4.80308312714086
-75.7317210168164,4.81564074885351,-75.6744334687365,4.79496128763432
-75.7381304441259,4.81634886476494,-75.6818548717334,4.79203031732405
-75.7583647724591,4.80651195023395,-75.6803412069224,4.78909052701438
-75.751179213495,4.80509962421713,-75.6861935430561,4.79055780590766
-75.7648382106711,4.80248610428389,-75.6768966959115,4.78500578447563
-75.7591135099725,4.81259759049058,-75.687158123808,4.79105073332475
